0.78396,343.53776,0.399,-0.0657,0.419,-0.0609
0.7945,315.34394,0.411,-0.0611,0.414,-0.056
0.80363,183.5516,0.352,-0.0358,0.372,-0.0333
0.82258,240.23178,0.352,-0.0358,0.372,-0.0333
0.82627,236.70452,0.39,-0.0508,0.408,-0.0455
0.8387,285.93158,0.39,-0.0508,0.408,-0.0455
0.85571,230.35997,0.399,-0.0523,0.417,-0.0489
0.87166,302.04616,0.439,-0.0696,0.444,-0.0628
0.88605,254.76843,0.433,-0.0613,0.454,-0.0551
0.88808,279.43583,0.439,-0.0677,0.46,-0.0649
0.91081,226.46073,0.437,-0.0579,0.444,-0.0519
0.91934,294.10819,0.466,-0.0733,0.469,-0.0672
0.93198,310.99561,0.466,-0.0733,0.469,-0.0672
0.94607,274.91865,0.477,-0.0752,0.483,-0.0697
0.96049,245.05166,0.463,-0.0692,0.468,-0.0646
0.97206,303.46507,0.463,-0.0692,0.468,-0.0646
0.97501,211.83557,0.451,-0.0652,0.473,-0.0582
0.99721,320.20121,0.507,-0.0921,0.522,-0.0863
